stage,functional,deltaV,minSeparation,minRobustMargin,finalPositionError,postEncounterRmsError,Q1,Q2,Q3,Q4,Q5,Q6,R1,R2,R3,S1,S2,S3
local,1,3.46766255481366,375.452774533941,269.44117136032,76.5011573393654,153.185512112012,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,0,6.94261086997612,460.260445612702,354.020312513504,268.277055239944,390.424548644107,4.6986587202908e-07,4.6986587202908e-07,4.6986587202908e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,1,5.05568825505006,446.179343841088,342.340888358079,115.313944356996,206.977076863463,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,1.87501133509923e-07,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,1,3.96677836165504,418.991242573984,315.289045452962,136.481580443519,210.772290234897,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,4.70981553156241e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,1,4.36668414203502,402.934983443477,299.454198120907,106.135779205659,177.389705527497,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,1.87501133509923e-07,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,1,4.2676368318471,395.5577634708,293.687494940098,81.7788957429472,156.219214173251,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,4.70981553156241e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,1,3.72211948821227,409.035833580034,309.826326372532,82.781443027,179.767051567019,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,3.75002267019846e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,1,3.59389736175483,379.528324252932,276.526987421978,85.0439346179344,164.768578577902,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,9.41963106312483e-08,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,0,4.87096293191926,390.360027389028,282.264682162374,168.970371846652,239.938826817767,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,6539.15464632541,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,0,6.14596562411601,535.06614491782,433.233488975275,212.751774816801,346.496198840047,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,1642.56138296476,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
