# Serie temporal de la incertidumbre de navegacion del filtro.
t_s,sigma_nav_m,time_since_fix_s
3192,32.11839915,272
3195,32.11841136,275
3198,32.11842397,278
3201,32.11843673,281
3204,32.11844972,284
3207,32.11846268,287
3210,32.11847522,290
3213,32.11848739,293
3216,32.11849929,296
3219,32.11851022,299
3222,8.021054969,0
3225,6.071731893,0
3228,5.329123637,0
3231,4.99523535,0
3234,4.836947222,0
3237,4.760327278,0
3240,4.722899217,0
3243,4.704538424,0
3246,4.695512836,0
3249,4.691071827,0
3252,4.688885072,0
3255,4.687808353,0
3258,4.68727808,0
3261,4.687016943,0
3264,4.686888573,0
3267,4.686824946,0
3270,4.686793802,0
3273,4.686778308,0
3276,4.686770825,0
3279,4.686767002,0
3282,5.595597405,2
3285,6.501180705,5
3288,7.504227034,8
3291,8.649432656,11
3294,9.945734016,14
3297,11.37911024,17
3300,12.9218314,20
3303,14.53907188,23
3306,16.19368239,26
3309,17.84961062,29
3312,19.47410008,32
3315,21.03878197,35
3318,22.51999002,38
3321,23.89876003,41
3324,25.16085024,44
3327,26.29685294,47
3330,27.30225295,50
3333,28.17725498,53
3336,28.92628401,56
3339,29.55719181,59
3342,30.08029468,62
3345,30.50738521,65
3348,30.85084047,68
3351,31.12290052,71
3354,31.33514427,74
3357,31.49815134,77
3360,31.6213196,80
3363,31.71280681,83
3366,31.77955077,86
3369,31.82734947,89
3372,31.86096558,92
3375,31.88424873,95
3378,31.90025782,98
3381,31.91137807,101
3384,31.91943068,104
3387,31.92576931,107
3390,31.93136765,110
3393,31.93689409,113
3396,31.94277618,116
3399,31.94925491,119
3402,31.95643125,122
3405,31.96430473,125
3408,31.97280324,128
3411,31.98180988,131
3414,31.99118151,134
3417,32.00076435,137
3420,32.01040617,140
3423,32.01996307,143
3426,32.02930641,146
3429,32.03832528,149
3432,32.04692835,152
3435,32.05504506,155
3438,32.06262372,158
3441,32.06963043,161
3444,32.07604801,164
3447,32.08187412,167
3450,32.08711706,170
3453,32.09179517,173
3456,32.09593517,176
3459,32.0995694,179
3462,32.10273361,182
3465,32.10546611,185
3468,32.10780651,188
3471,32.1097948,191
3474,32.11146927,194
3477,32.11286785,197
3480,32.11402455,200
3483,32.11497269,203
3486,32.11574173,206
3489,32.11635918,209
3492,32.11684977,212
3495,32.11723375,215
3498,32.11753112,218
3501,32.11775757,221
3504,32.11792755,224
3507,32.11805326,227
3510,32.11814412,230
3513,32.11820816,233
3516,32.11825285,236
3519,32.11828317,239
3522,32.11830388,242
3525,32.11831791,245
3528,32.11832745,248
3531,32.11833491,251
3534,32.11834125,254
3537,32.11834795,257
3540,32.1183553,260
3543,32.11836328,263
3546,32.118372,266
3549,32.11838219,269
3552,32.1183936,272
3555,32.11840543,275
3558,32.11841803,278
3561,32.11843132,281
3564,32.11844437,284
3567,32.11845733,287
3570,32.11846951,290
3573,32.11848167,293
3576,32.1184932,296
3579,32.11850383,299
3582,8.021054984,0
3585,6.071731804,0
3588,5.329123617,0
3591,4.995235478,0
3594,4.8369472,0
3597,4.76032743,0
3600,4.722899604,0
3603,4.704538639,0
3606,4.695512809,0
3609,4.691071722,0
3612,4.688885212,0
3615,4.687808505,0
3618,4.687278199,0
3621,4.687016879,0
3624,4.686888305,0
3627,4.686825089,0
3630,4.686793747,0
3633,4.686778463,0
3636,4.686770516,0
3639,4.686766902,0
3642,5.595597566,2
3645,6.501179994,5
3648,7.504226447,8
3651,8.649431905,11
3654,9.945733618,14
3657,11.37910998,17
3660,12.92183122,20
3663,14.53907136,23
3666,16.19368149,26
3669,17.84960926,29
3672,19.47409856,32
3675,21.03878,35
3678,22.51998777,38
3681,23.89875733,41
3684,25.1608473,44
3687,26.296849,47
3690,27.30224876,50
3693,28.17725127,53
3696,28.92627979,56
3699,29.55718742,59
3702,30.08029006,62
3705,30.50738041,65
3708,30.85083487,68
3711,31.12289477,71
3714,31.33513867,74
3717,31.49814577,77
3720,31.62131418,80
3723,31.7128012,83
3726,31.77954559,86
3729,31.82734397,89
3732,31.86096006,92
3735,31.88424268,95
3738,31.90025188,98
3741,31.9113719,101
3744,31.9194244,104
3747,31.92576299,107
3750,31.9313619,110
3753,31.93688816,113
3756,31.9427703,116
3759,31.94924921,119
3762,31.9564257,122
3765,31.96429908,125
3768,31.97279765,128
3771,31.98180421,131
3774,31.99117575,134
3777,32.00075882,137
3780,32.0104005,140
3783,32.01995757,143
3786,32.02930052,146
3789,32.03831954,149
3792,32.04692274,152
3795,32.0550393,155
3798,32.06261795,158
3801,32.06962492,161
3804,32.07604291,164
3807,32.0818687,167
3810,32.08711094,170
3813,32.09178908,173
3816,32.09592936,176
3819,32.09956338,179
3822,32.10272746,182
3825,32.10545996,185
3828,32.10780077,188
3831,32.10978905,191
3834,32.11146339,194
3837,32.11286169,197
3840,32.11401863,200
3843,32.11496658,203
3846,32.11573596,206
3849,32.11635341,209
3852,32.11684353,212
3855,32.1172281,215
3858,32.11752569,218
