# Arquitectura propuesta: el guiado planifica la maniobra fuera del QP y el MPC solo sigue la referencia. Plazo de tiempo real 30 s.
t_s,solve_time_s,u_norm_ms2,violation_ms2,exitflag,qp_fallback
6270,0.0038553,1.714130699e-07,-0.04166653704,1,0
6300,0.0025819,1.625646627e-07,-0.04166654016,1,0
6330,0.0025298,1.534972144e-07,-0.04166654413,1,0
6360,0.0034717,1.442872994e-07,-0.04166654882,1,0
6390,0.0030728,1.350071241e-07,-0.04166655412,1,0
6420,0.002614,1.257243056e-07,-0.0416665599,1,0
6450,0.002272,1.165015391e-07,-0.04166656607,1,0
6480,0.0026138,1.073962944e-07,-0.04166657253,1,0
6510,0.004174,9.846076207e-08,-0.04166657918,1,0
6540,0.0039236,8.974179487e-08,-0.04166658594,1,0
6570,0.0023161,8.128083846e-08,-0.04166659273,1,0
6600,0.0023579,7.311404363e-08,-0.04166659949,1,0
6630,0.0035489,6.527231756e-08,-0.04166660615,1,0
6660,0.0024055,5.778149324e-08,-0.04166661266,1,0
6690,0.0037208,5.066245957e-08,-0.04166661897,1,0
6720,0.0023154,4.39314403e-08,-0.04166662504,1,0
6750,0.0023434,3.760026074e-08,-0.04166663083,1,0
6780,0.0023169,3.163565434e-08,-0.04166663622,1,0
6810,0.0023138,2.615752455e-08,-0.04166664145,1,0
6840,0.0029816,2.104640581e-08,-0.04166664625,1,0
6870,0.0022932,1.638387465e-08,-0.0416666508,1,0
6900,0.0027509,1.209518389e-08,-0.04166665313,1,0
6930,0.0025775,8.194251199e-09,-0.04166665321,1,0
6960,0.0026619,4.742692449e-09,-0.04166665302,1,0
6990,0.0038805,1.797298854e-09,-0.04166665306,1,0
7020,0.0025687,1.591343887e-09,-0.04166665309,1,0
7050,0.0036761,3.822865789e-09,-0.04166665312,1,0
7080,0.0025777,5.891932466e-09,-0.04166665313,1,0
7110,0.00225,7.68413551e-09,-0.04166665315,1,0
7140,0.0022487,9.203122383e-09,-0.04166665318,1,0
7170,0.0022305,1.046526631e-08,-0.0416666532,1,0
7200,0.002238,1.148979247e-08,-0.04166665324,1,0
7230,0.0022695,1.235421143e-08,-0.04166665283,1,0
7260,0.0022534,1.302152835e-08,-0.04166665287,1,0
7290,0.0034861,1.349143293e-08,-0.04166665292,1,0
7320,0.002289,1.37570049e-08,-0.04166665286,1,0
7350,0.0024805,1.388315657e-08,-0.04166665291,1,0
7380,0.0023171,1.387376448e-08,-0.04166665298,1,0
7410,0.0023088,1.370421839e-08,-0.04166665312,1,0
7440,0.0034065,1.345518951e-08,-0.0416666534,1,0
7470,0.0022847,1.31241679e-08,-0.04166665381,1,0
7500,0.0029527,1.267373458e-08,-0.04166665422,1,0
7530,0.0022907,1.219168643e-08,-0.04166665473,1,0
7560,0.0023492,1.166959712e-08,-0.04166665533,1,0
7590,0.0032833,1.106260284e-08,-0.04166665589,1,0
7620,0.002332,1.045921817e-08,-0.04166665652,1,0
7650,0.0025979,9.847017491e-09,-0.04166665719,1,0
7680,0.0023009,9.22927692e-09,-0.04166665791,1,0
7710,0.0023825,8.524380619e-09,-0.04166665851,1,0
7740,0.0023091,7.876491614e-09,-0.04166665914,1,0
7770,0.0022717,7.254592066e-09,-0.0416666598,1,0
7800,0.002266,6.652808118e-09,-0.04166666047,1,0
7830,0.0023052,6.073249746e-09,-0.04166666114,1,0
7860,0.0036252,5.40851058e-09,-0.04166666163,1,0
7890,0.0022858,4.839034096e-09,-0.04166666214,1,0
7920,0.0024884,4.317304652e-09,-0.04166666265,1,0
7950,0.0022363,3.829036329e-09,-0.04166666316,1,0
7980,0.0022982,3.371742801e-09,-0.04166666366,1,0
8010,0.0022756,2.947020309e-09,-0.04166666415,1,0
8040,0.0023312,2.557936307e-09,-0.04166666461,1,0
8070,0.0025578,2.208261133e-09,-0.04166666504,1,0
8100,0.0023128,1.679729221e-09,-0.04166666523,1,0
8130,0.0029515,1.335672579e-09,-0.04166666543,1,0
8160,0.0025346,1.06863964e-09,-0.04166666564,1,0
8190,0.0026158,8.358315306e-10,-0.04166666585,1,0
8220,0.0022322,6.230143908e-10,-0.04166666601,1,0
8250,0.00225,4.268807706e-10,-0.04166666601,1,0
8280,0.00246,2.48503182e-10,-0.04166666601,1,0
8310,0.0024755,9.783044465e-11,-0.04166666601,1,0
8340,0.0028487,9.66547828e-11,-0.04166666601,1,0
8370,0.0024974,2.143897925e-10,-0.04166666601,1,0
8400,0.0024478,3.257523322e-10,-0.04166666602,1,0
8430,0.0025002,4.226291137e-10,-0.04166666602,1,0
8460,0.0025774,5.045156896e-10,-0.04166666603,1,0
8490,0.0025411,5.719532454e-10,-0.04166666603,1,0
8520,0.0024582,6.258145795e-10,-0.04166666604,1,0
8550,0.0027564,6.67121867e-10,-0.04166666605,1,0
8580,0.002756,6.969706129e-10,-0.04166666606,1,0
8610,0.0025961,7.164870586e-10,-0.04166666607,1,0
8640,0.0029101,7.268003297e-10,-0.04166666608,1,0
8670,0.0034302,7.290228665e-10,-0.0416666661,1,0
8700,0.0024924,7.242362985e-10,-0.04166666612,1,0
8730,0.0025507,7.13481242e-10,-0.04166666615,1,0
8760,0.0026443,6.977500655e-10,-0.04166666616,1,0
8790,0.0033361,6.779819515e-10,-0.04166666616,1,0
8820,0.002449,6.550597281e-10,-0.04166666615,1,0
8850,0.0029504,6.298080273e-10,-0.04166666615,1,0
8880,0.0024977,6.029923568e-10,-0.04166666615,1,0
8910,0.0025572,5.753186735e-10,-0.04166666616,1,0
8940,0.002427,5.474330308e-10,-0.04166666617,1,0
8970,0.003365,5.199208428e-10,-0.04166666618,1,0
9000,0.0023046,4.933053083e-10,-0.04166666619,1,0
9030,0.00223,4.680445943e-10,-0.04166666621,1,0
9060,0.002307,4.445275486e-10,-0.04166666622,1,0
9090,0.0022278,4.230680542e-10,-0.04166666624,1,0
9120,0.0022267,4.038986544e-10,-0.04166666626,1,0
9150,0.003658,3.871647178e-10,-0.04166666629,1,0
9180,0.0032066,3.72920953e-10,-0.04166666631,1,0
9210,0.0033639,3.611322522e-10,-0.04166666633,1,0
9240,0.0024987,3.516803577e-10,-0.04166666636,1,0
9270,0.0030284,3.443767062e-10,-0.04166666638,1,0
9300,0.0025464,3.389803349e-10,-0.04166666637,1,0
9330,0.0026473,3.352185108e-10,-0.04166666637,1,0
9360,0.0022255,3.328072435e-10,-0.04166666636,1,0
9390,0.0025064,3.314691931e-10,-0.04166666635,1,0
9420,0.0033831,3.309474093e-10,-0.04166666635,1,0
9450,0.0026683,3.310143997e-10,-0.04166666634,1,0
9480,0.0039714,3.31476877e-10,-0.04166666634,1,0
9510,0.0037203,3.3217702e-10,-0.04166666634,1,0
9540,0.0026234,3.329912318e-10,-0.04166666634,1,0
9570,0.0037368,3.338273016e-10,-0.04166666633,1,0
9600,0.0035545,3.346206921e-10,-0.04166666633,1,0
9630,0.0036394,3.353304631e-10,-0.04166666633,1,0
9660,0.0053815,4.950711728e-10,-0.04166666581,1,0
9690,0.004051,7.398919191e-10,-0.04166666581,1,0
9720,0.002474,8.61674842e-10,-0.04166666581,1,0
9750,0.0034369,9.003957293e-10,-0.04166666581,1,0
9780,0.0022453,8.88611691e-10,-0.04166666582,1,0
9810,0.0028417,8.472539575e-10,-0.04166666586,1,0
9840,0.0022643,7.894780986e-10,-0.04166666591,1,0
9870,0.0022752,7.235860951e-10,-0.04166666597,1,0
9900,0.0022128,6.548698097e-10,-0.04166666603,1,0
9930,0.0025225,5.867411067e-10,-0.04166666609,1,0
9960,0.002674,5.214275133e-10,-0.04166666615,1,0
9990,0.0023263,4.604074155e-10,-0.04166666621,1,0
10020,0.0031122,4.046876072e-10,-0.04166666626,1,0
10050,0.0023135,3.549814455e-10,-0.04166666631,1,0
10080,0.0022572,3.118170447e-10,-0.04166666636,1,0
10110,0.0022098,2.755847879e-10,-0.04166666641,1,0
10140,0.0022228,2.465211449e-10,-0.04166666641,1,0
