# Un caso por fila. dv_ms es el impulso tangencial planificado (signo = sentido); sens_m_per_mms es la separacion abierta en el encuentro por mm/s aplicado un medio periodo antes.
sigma_nav_m,sigma_obj_m,dInc_deg,vrel_ms,bplane_angle_deg,miss0_m,sens_m_per_mms,d_target_m,dv_ms,converged
32.1,10,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,210.1245205,0.008793982417,1
32.1,30,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,238.3446756,0.01052976814,1
32.1,100,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,385.5080183,0.01882720943,1
32.1,300,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,838.8006969,0.04276167682,1
40,10,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,222.9638812,0.009595255698,1
40,30,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,247.5374374,0.01107781059,1
40,100,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,389.1083367,0.01902279748,1
40,300,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,840.0399772,0.04282626399,1
100,10,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,324.7104117,0.01548753039,1
100,30,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,336.3157312,0.016131357,1
100,100,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,437.0066143,0.02160822455,1
100,300,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,858.0643827,0.04376540907,1
250,10,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,583.6170291,0.02939874013,1
250,30,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,588.4216597,0.02965202775,1
250,100,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,639.768105,0.03235352602,1
250,300,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,961.6989405,0.04915802006,1
4.8,10,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,180.8285096,-0.008658592783,1
4.8,30,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,239.446146,-0.01673446856,1
4.8,100,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,446.9794948,-0.04225956698,1
4.8,300,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,1040.628106,-0.1116406239,1
12,10,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,186.2391639,-0.009452361613,1
12,30,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,241.4521352,-0.0169967189,1
12,100,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,447.5898189,-0.04233227845,1
12,300,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,1040.831804,-0.1116642374,1
32.1,10,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,213.0278272,-0.01321188442,1
32.1,30,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,254.9891567,-0.01875121978,1
32.1,100,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,452.0247181,-0.04286043077,1
32.1,300,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,1042.32311,-0.1118371135,1
40,10,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,225.3742463,-0.01487557672,1
40,30,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,262.8339179,-0.01975715471,1
40,100,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,454.8404506,-0.04319557462,1
40,300,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,1043.280081,-0.1119480465,1
100,10,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,325.7306945,-0.02762285134,1
100,30,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,344.760091,-0.02995358195,1
100,100,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,493.6971055,-0.04780751014,1
100,300,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,1057.275759,-0.1135703019,1
250,10,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,584.02912,-0.05845761634,1
250,30,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,592.076343,-0.05940270345,1
250,100,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,675.0025717,-0.06911647214,1
250,300,129.1978199,12984.45389,30.13413627,131.1418259,-4.167357369,1140.277387,-0.1231862803,1
4.8,10,149.4145821,13865.06259,334.731361,154.8838927,2.257558576,170.3113707,0.005754265111,1
4.8,30,149.4145821,13865.06259,334.731361,154.8838927,2.257558576,206.2139309,0.01594520939,1
4.8,100,149.4145821,13865.06259,334.731361,154.8838927,2.257558576,335.5055202,0.04468983464,1
4.8,300,149.4145821,13865.06259,334.731361,154.8838927,2.257558576,706.0195341,0.1171844739,1
12,10,149.4145821,13865.06259,334.731361,154.8838927,2.257558576,177.8465757,0.00813121335,1
